timesheet_project_id,delivery_project_id
harvest-21557896,
harvest-22712525,
harvest-23615283,jira-10112
harvest-23766636,jira-10106
harvest-22775262,jira-10015
harvest-23517214,jira-10013
harvest-17381404,
harvest-20102085,
harvest-23101370,jira-10108
harvest-23354187,
harvest-23948613,jira-10106
harvest-18223851,
harvest-19750559,
harvest-19872804,
harvest-22829019,
harvest-22079246,jira-10013
harvest-19679920,
harvest-21090602,
harvest-23415717,jira-10013
harvest-23623920,jira-10110
harvest-24033491,jira-10106
harvest-19750683,
harvest-24373833,asana-1166568857339813
harvest-23891607,jira-10117
harvest-22829026,
harvest-24029890,jira-10110
harvest-24104731,jira-10106
harvest-22829030,
harvest-24202084,asana-1166568857339813
harvest-24400460,asana-1166568857339813
harvest-23300863,
harvest-24311595,
harvest-18090795,
harvest-21695306,
harvest-23367474,jira-10106
harvest-24465830,jira-10108
harvest-24107719,jira-10113
harvest-18090790,
harvest-18682794,
harvest-20588768,
harvest-19589109,
harvest-21972489,
harvest-23944104,
harvest-23289881,
harvest-19580389,
harvest-21000510,
harvest-18044209,
harvest-22829016,
harvest-23105686,
harvest-23467834,
harvest-23944402,jira-10117
harvest-21557262,
harvest-22077883,
harvest-22877918,jira-10106
harvest-23432639,jira-10013
harvest-23101384,
harvest-23467840,
harvest-22829013,
harvest-24400381,
harvest-23851999,
harvest-23766667,jira-10108
harvest-23891575,jira-10108
harvest-19514138,
harvest-20365703,
harvest-23427497,
harvest-23467848,
harvest-19137440,
harvest-22262907,jira-10014
harvest-24486136,jira-10117
harvest-23467856,
harvest-24485949,asana-1166568857339813
harvest-18612807,
harvest-19718406,
harvest-22733909,
harvest-23841833,jira-10113
harvest-20102095,
harvest-23367454,jira-10108
harvest-24319606,jira-10113
harvest-24486076,
harvest-21616640,
harvest-23053294,
harvest-24125089,jira-10108
harvest-20420138,jira-10013
harvest-23752098,
harvest-24569388,asana-1166568857339813
harvest-22259517,
harvest-20837081,
harvest-22179058,jira-10015
harvest-19225972,jira-10013